source	accession	likely_multiomics	publicationDate	title	n_urls	associated_accessions	queries
metabolights_dataset	MTBLS13039	True	20250925	Exploring the molecular intersection for hypertension, hyperlipidemia and their comorbid conditions through multi-omics approaches	8	{"MetaboLights": ["MTBLS13039"]}	cardiovascular AND "multi-omics"
metabolights_dataset	MTBLS12336	True	20250630	Multi-Omic Analysis and Platelet Function Distinguish Treatment Responses to Hydroxytyrosol in Cardiovascular Risk	164	{"MetaboLights": ["MTBLS12336"]}	cardiovascular AND "multi-omics"
metabolights_dataset	MTBLS12820	True	20260204	Integrated Multi-Omics Analysis of Dampness-Heat Gout Reveals Diagnostic Biomarkers and Therapeutic Targets	8	{"MetaboLights": ["MTBLS12820"]}	cardiovascular AND "multi-omics"
metabolights_dataset	MTBLS795	True	20220920	Integrated multi-omics analysis of adverse cardiac remodeling and metabolic inflexibility upon ErbB2 and ERRα deficiency	138	{"MetaboLights": ["MTBLS795"], "PubMed": ["PMID:36097051"]}	cardiovascular AND "multi-omics"
metabolights_dataset	MTBLS13223	True	20260126	Integrated Multi-omics Elucidation of the Uric Acid Degradation Pathway in Limosilactobacillus fermentum M5e	8	{"MetaboLights": ["MTBLS13223"]}	"myocardial infarction" AND transcriptomic AND metabolomic || cardiovascular AND "multi-omics"
metabolights_dataset	MTBLS158	True	20200425	Multi-omics systems toxicology study of mouse lung assessing the effects of aerosols from two heat-not-burn tobacco products and cigarette smoke	374	{"MetaboLights": ["MTBLS158"]}	cardiovascular AND "multi-omics"
biostudies-arrayexpress	E-MTAB-14646	True	20251120	Unveiling the distinctive impact of radiation on cardiac ventricular regions and the right atrium using multi-omics approaches	1	{"ArrayExpress": ["E-MTAB-14646"]}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC6656333	True	None	Relevance of Multi-Omics Studies in Cardiovascular Diseases.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC12537794	True	None	Exploring the molecular intersection for hypertension, hyperlipidemia and their comorbid conditions through multi-omics approaches.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC8425417	True	None	Multi-omics approaches for revealing the complexity of cardiovascular disease.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC8782899	True	None	Tissue-specific multi-omics analysis of atrial fibrillation.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC12837037	True	None	Improved sex-specific cardiovascular risk prediction with multi-omics data in people with type 2 diabetes.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC4666633	True	None	CardioGenBase: A Literature Based Multi-Omics Database for Major Cardiovascular Diseases.	1	{}	"coronary artery disease" AND "multi-omics" || cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC12004867	True	None	Integrative metabolomics and genomics reveal molecular signatures for type 2 diabetes and its cardiovascular complications.	1	{}	cardiovascular AND "multi-omics"
pride	PXD061418	True	20250901	Multi-omics analysis revealed biomarkers for coronary atherosclerosis	344	{"PRIDE_ProteomeXchange": ["PXD061418"]}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC10642346	True	None	From multi-omics approaches to personalized medicine in myocardial infarction.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC11831781	True	None	Uncovering endothelial to mesenchymal transition drivers in atherosclerosis via multi-omics analysis.	1	{"GEO_series": ["GSE118446", "GSE159677", "GSE56309"]}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC12644673	True	None	Deriving consensus sepsis clusters via goal-directed subgroup identification in multi-omics study.	1	{}	cardiovascular AND "multi-omics"
pride	PXD061416	True	20250901	Multi-omics analysis revealed biomarkers for coronary atherosclerosis: occurrence and development	490	{"PRIDE_ProteomeXchange": ["PXD061416"]}	cardiovascular AND "multi-omics"
project	PRJEB88699	True	None	Multi-Omics Analysis of Bariatric Surgery's Impact on Type 2 Diabetes and Prediabetes	115	{"ENA_BioProject": ["PRJEB88699"]}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC9693522	True	None	Multi-Omics Investigation into Acute Myocardial Infarction: An Integrative Method Revealing Interconnections amongst the Metabolome, Lipidome, Glycome, and Metallome.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC10942516	True	None	Multi-omics Integration Identifies Genes Influencing Traits Associated with Cardiovascular Risks: The Long Life Family Study.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC10604683	True	None	Multi-Omics Analysis Reveals the Role of Sigma-1 Receptor in a Takotsubo-like Cardiomyopathy Model.	1	{}	cardiomyopathy AND transcriptomic AND metabolomic || cardiovascular AND "multi-omics"
pride	PXD024281	True	20210427	Lactate Dehydrogenase B and Pyruvate Oxidation Pathway associated with Carfilzomib-Related Cardiotoxicity in Multiple Myeloma Patients: Result of a Multi-Omics Integrative Analysis	77	{"PRIDE_ProteomeXchange": ["PXD024281"]}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC8978565	True	None	Multi-Omics Integration in a Twin Cohort and Predictive Modeling of Blood Pressure Values.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC9551614	True	None	Multi-omics analysis reveals the host-microbe interactions in aged rhesus macaques.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC12803610	True	None	Deep phenotyping of heart failure with preserved ejection fraction through multi-omics integration.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC8183685	True	None	Multi-Omics Integrative Analysis Uncovers Molecular Subtypes and mRNAs as Therapeutic Targets for Liver Cancer.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC11532369	True	None	Multimodal AI/ML for discovering novel biomarkers and predicting disease using multi-omics profiles of patients with cardiovascular diseases.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC6708480	True	None	Unsupervised classification of multi-omics data during cardiac remodeling using deep learning.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC11994452	True	None	Single-nucleus multi-omics implicates androgen receptor signaling in cardiomyocytes and NR4A1 regulation in fibroblasts during atrial fibrillation.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC8116486	True	None	Lactate Dehydrogenase B and Pyruvate Oxidation Pathway Associated With Carfilzomib-Related Cardiotoxicity in Multiple Myeloma Patients: Result of a Multi-Omics Integrative Analysis.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC9579694	True	None	Multi-omics insights into potential mechanism of SGLT2 inhibitors cardiovascular benefit in diabetic cardiomyopathy.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC11348607	True	None	Multi-omics association study of DNA methylation and gene expression levels and diagnoses of cardiovascular diseases in Danish Twins.	1	{}	"coronary artery disease" AND "multi-omics" || cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC11804059	True	None	Researcher views on returning results from multi-omics data to research participants: insights from The Molecular Transducers of Physical Activity Consortium (MoTrPAC) Study.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC12652397	True	None	Genomics and Multi-Omics Perspectives on the Pathogenesis of Cardiorenal Syndrome.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC11786457	True	None	Multi-omics approaches for understanding gene-environment interactions in noncommunicable diseases: techniques, translation, and equity issues.	1	{}	cardiovascular AND "multi-omics"
project	PRJEB84474	True	None	HYDROXYTYROSOL IN CARDIOVASCULAR RISK	191	{"ENA_BioProject": ["PRJEB84474"]}	cardiovascular AND "multi-omics"
project	PRJNA1122871	True	None	CARDIA Multi-omics Obesity & CVD Substudy – Year 20 Untargeted Metabolomics Data	1	{"ENA_BioProject": ["PRJNA1122871"]}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC12554561	True	None	Exploring molecular characteristics and interactions of blood stasis syndrome in ischemic heart failure by integrated multi-omics.	1	{}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC10435377	True	None	Multiset correlation and factor analysis enables exploration of multi-omics data.	1	{}	cardiovascular AND "multi-omics"
project	PRJNA1122872	True	None	CARDIA Multi-omics Obesity & CVD Substudy – Year 20 Untargeted Metabolomics Data	1	{"ENA_BioProject": ["PRJNA1122872"]}	cardiovascular AND "multi-omics"
biostudies-literature	S-EPMC9809279	True	None	The 2000HIV study: Design, multi-omics methods and participant characteristics.	1	{}	cardiovascular AND "multi-omics"
